cash_request_id_main,user_id,cohort,cash_request_amount,cash_request_status,cash_request_id,type,fee_status,fee_amount,charge_moment
5,804,201912,100,rejected,0,0,,,
70,231,201912,100,rejected,0,0,,,
7,191,201912,100,rejected,0,0,,,
10,761,201912,99,rejected,0,0,,,
1594,7686,202005,100,rejected,0,0,,,
2145,9489,202005,100,money_back,0,0,,,
3512,14631,202006,100,rejected,0,0,,,
71,897,201912,90,rejected,0,0,,,
648,2908,202002,1,rejected,0,0,,,
1794,778,202005,100,money_back,0,0,,,
655,163,202002,1,rejected,0,0,,,
2122,8218,202005,100,money_back,0,0,,,
741,1547,202002,100,rejected,0,0,,,
83,1248,201912,100,rejected,0,0,,,
690,939,202002,100,rejected,0,0,,,
756,821,202002,70,rejected,0,0,,,
1073,2867,202004,100,rejected,0,0,,,
600,2872,202002,100,rejected,0,0,,,
96,781,201912,100,rejected,0,0,,,
97,945,201912,100,rejected,0,0,,,
642,2460,202002,1,rejected,0,0,,,
100,1286,201912,100,rejected,0,0,,,
106,528,201912,100,rejected,0,0,,,
108,792,201912,100,rejected,0,0,,,
113,682,201912,100,rejected,0,0,,,
1540,3377,202005,100,rejected,0,0,,,
1135,2274,202004,100,rejected,0,0,,,
118,47,201912,100,rejected,0,0,,,
1395,7379,202004,70,rejected,0,0,,,
708,2671,202002,100,rejected,0,0,,,
875,4549,202003,100,rejected,0,0,,,
1403,7217,202004,100,rejected,0,0,,,
1064,865,202004,100,rejected,0,0,,,
605,2179,202002,100,rejected,0,0,,,
1629,9068,202005,100,money_back,0,0,,,
134,1316,201912,100,rejected,0,0,,,
135,1003,201912,100,rejected,0,0,,,
23534,21465,202010,25,money_back,23534,instant_payment,accepted,5,after
688,2564,202002,100,rejected,0,0,,,
1074,5210,202004,100,rejected,0,0,,,
141,674,201912,100,rejected,0,0,,,
1364,952,202004,100,rejected,0,0,,,
840,3338,202003,100,rejected,0,0,,,
817,3162,202003,100,money_back,0,0,,,
9323,23318,202007,50,rejected,0,0,,,
1404,4982,202004,100,rejected,0,0,,,
150,35,201912,100,rejected,0,0,,,
153,1378,201912,100,rejected,0,0,,,
18701,57285,202010,100,rejected,0,0,,,
724,115,202002,50,money_back,0,0,,,
16121,38075,202009,50,rejected,0,0,,,
1506,72,202005,100,rejected,0,0,,,
